rank,iso,name,year_used,ppp_used,reliability,BSLI,F_ML,H,D,Hs,gini,F_ML_raw,H_raw,D_pct,Hs_palma
77,KIR,Kiribati,2019,2017,fallback_10yr,-0.1944,0.0634,0.0562,0.2154,0.0381,0.2783,4.511,5.3402,19.4214,0.9953
78,KGZ,Kyrgyzstan,2020,2017,fallback_10yr,-0.197,0.0639,0.0576,0.2075,0.0496,0.2899,4.5343,5.4331,18.7142,1.0682
79,MMR,Myanmar,2017,2017,fallback_10yr,-0.2231,0.0643,0.0582,0.2179,0.0658,0.307,4.5577,5.4714,19.6452,1.1703
80,BRA,Brazil,2020,2017,fallback_10yr,-0.2409,0.1682,0.1761,0.059,0.3548,0.4888,10.2109,13.4885,5.3188,2.994
81,LKA,Sri Lanka,2016,2017,fallback_10yr,-0.2457,0.0781,0.0746,0.1536,0.1681,0.3935,5.312,6.5878,13.8486,1.816
82,CRI,Costa Rica,2020,2017,fallback_10yr,-0.2546,0.1667,0.1824,0.066,0.3647,0.4925,10.1329,13.9162,5.9506,3.0566
83,EGY,Egypt,2017,2017,fallback_10yr,-0.2649,0.0594,0.0522,0.2439,0.0761,0.3153,4.2898,5.0656,21.9968,1.2351
84,MEX,Mexico,2020,2017,fallback_10yr,-0.2665,0.1138,0.1182,0.1102,0.2727,0.454,7.2535,9.5515,9.9335,2.4757
85,GEO,Georgia,2020,2017,fallback_10yr,-0.2697,0.0678,0.0664,0.2369,0.0998,0.3447,4.7505,6.031,21.3629,1.3848
86,MRT,Mauritania,2014,2017,fallback_10yr,-0.3127,0.0585,0.0557,0.2907,0.0788,0.3262,4.2453,5.3004,26.2181,1.2527
87,TJK,Tajikistan,2015,2017,fallback_10yr,-0.3229,0.059,0.0562,0.2851,0.0951,0.34,4.2681,5.3348,25.7125,1.3552
88,IDN,Indonesia,2021,2017,fallback_10yr,-0.3315,0.064,0.0621,0.2483,0.1461,0.3792,4.543,5.74,22.3938,1.6768
89,PHL,Philippines,2018,2017,fallback_10yr,-0.3407,0.0731,0.0726,0.2025,0.211,0.4227,5.0383,6.4507,18.2605,2.0867
90,PER,Peru,2020,2017,fallback_10yr,-0.3434,0.0886,0.0943,0.1926,0.2428,0.4379,5.8812,7.9287,17.3666,2.2875
91,CPV,Cape Verde,2015,2017,fallback_10yr,-0.3515,0.0749,0.0767,0.2144,0.2131,0.4238,5.1334,6.7278,19.3315,2.0998
92,NIC,Nicaragua,2014,2017,fallback_10yr,-0.3583,0.091,0.0965,0.1601,0.2925,0.4616,6.0104,8.0742,14.4413,2.6011
93,ECU,Ecuador,2020,2017,fallback_10yr,-0.3679,0.107,0.1125,0.1595,0.3187,0.4731,6.8799,9.1634,14.3866,2.7663
94,LCA,Saint Lucia,2016,2017,fallback_10yr,-0.4011,0.1498,0.1696,0.1299,0.4329,0.5123,9.2113,13.046,11.7099,3.4868
95,VUT,Vanuatu,2019,2017,fallback_10yr,-0.4177,0.0481,0.0464,0.3876,0.0772,0.3232,3.6774,4.6709,34.9547,1.2423
96,PAK,Pakistan,2018,2017,fallback_10yr,-0.4598,0.0442,0.0376,0.4418,0.0582,0.2959,3.4669,4.0732,39.8377,1.1223
97,LAO,Laos,2018,2017,fallback_10yr,-0.4694,0.0507,0.0477,0.36,0.1583,0.388,3.8202,4.7574,32.4665,1.754
98,TLS,Timor,2014,2017,fallback_10yr,-0.4883,0.0416,0.0356,0.4796,0.0467,0.2865,3.3228,3.9351,43.2524,1.0496
99,SEN,Senegal,2018,2017,fallback_10yr,-0.5209,0.0454,0.0429,0.4152,0.1496,0.3812,3.5328,4.4363,37.4438,1.6994
100,GIN,Guinea,2018,2017,fallback_10yr,-0.5316,0.0375,0.0336,0.5167,0.0501,0.2959,3.1021,3.8038,46.5963,1.0712
101,CIV,Cote d'Ivoire,2018,2017,fallback_10yr,-0.5322,0.0435,0.0417,0.4397,0.1349,0.3718,3.4243,4.3527,39.6463,1.6061
102,GTM,Guatemala,2014,2017,fallback_10yr,-0.5607,0.0644,0.0684,0.2868,0.3407,0.4828,4.5669,6.1696,25.8602,2.905
103,HND,Honduras,2019,2017,fallback_10yr,-0.5731,0.0674,0.0796,0.2931,0.3547,0.4817,4.7251,6.9277,26.428,2.9932
104,GMB,Gambia,2015,2017,fallback_10yr,-0.5783,0.0392,0.0358,0.4951,0.1204,0.3592,3.1921,3.9524,44.6491,1.5151
105,FSM,Micronesia (country),2013,2017,fallback_10yr,-0.5818,0.0407,0.0399,0.451,0.171,0.4006,3.2743,4.2265,40.6702,1.8344
106,IND,India,2019,2017,fallback_10yr,-0.5832,0.0402,0.0349,0.4966,0.1236,0.3573,3.2455,3.89,44.7844,1.5351
107,MLI,Mali,2018,2017,fallback_10yr,-0.6118,0.0361,0.0333,0.5266,0.1196,0.3614,3.0228,3.7792,47.4841,1.51
108,SDN,Sudan,2014,2017,fallback_10yr,-0.6201,0.0351,0.0315,0.5514,0.1016,0.3424,2.9709,3.6616,49.723,1.3963
109,BGD,Bangladesh,2016,2017,fallback_10yr,-0.6223,0.0352,0.0303,0.5725,0.0821,0.3239,2.9764,3.5797,51.6278,1.2731
110,DJI,Djibouti,2017,2017,fallback_10yr,-0.6517,0.0382,0.0378,0.4857,0.204,0.4159,3.1397,4.0851,43.7988,2.0426
111,COM,Comoros,2014,2017,fallback_10yr,-0.6706,0.0408,0.0423,0.4383,0.274,0.4533,3.2824,4.3893,39.5246,2.4839
112,COL,Colombia,2020,2017,fallback_10yr,-0.6808,0.0827,0.0924,0.2336,0.5357,0.5417,5.5583,7.7959,21.0632,4.1353
113,YEM,Yemen,2014,2017,fallback_10yr,-0.7021,0.0316,0.0282,0.6027,0.129,0.3671,2.7799,3.4357,54.3524,1.5692
114,BEN,Benin,2018,2017,fallback_10yr,-0.7022,0.0318,0.0289,0.5903,0.142,0.3781,2.7906,3.4832,53.232,1.6514
115,GNB,Guinea-Bissau,2018,2017,fallback_10yr,-0.7072,0.0292,0.0264,0.6297,0.105,0.3477,2.6494,3.3136,56.7875,1.4177
116,GHA,Ghana,2016,2017,fallback_10yr,-0.7475,0.0313,0.0326,0.5422,0.2374,0.4352,2.7639,3.7328,48.8931,2.2534
117,LBR,Liberia,2016,2017,fallback_10yr,-0.7564,0.0257,0.0232,0.6719,0.1087,0.3527,2.4604,3.095,60.5855,1.441
118,NGA,Nigeria,2018,2017,fallback_10yr,-0.789,0.0232,0.0211,0.7039,0.107,0.3513,2.3219,2.9533,63.4728,1.4303
119,CMR,Cameroon,2014,2017,fallback_10yr,-0.7954,0.0318,0.0349,0.5209,0.3082,0.4664,2.7895,3.8892,46.9771,2.7
120,SLE,Sierra Leone,2018,2017,fallback_10yr,-0.8084,0.0252,0.0212,0.7128,0.1184,0.3569,2.432,2.9593,64.2806,1.5024
121,ETH,Ethiopia,2015,2017,fallback_10yr,-0.8096,0.0257,0.0227,0.7211,0.1124,0.3499,2.458,3.0617,65.0294,1.4644
122,TGO,Togo,2018,2017,fallback_10yr,-0.8166,0.026,0.025,0.6295,0.2125,0.4235,2.4723,3.2138,56.7664,2.0959
123,KEN,Kenya,2015,2017,fallback_10yr,-0.822,0.0245,0.0233,0.6606,0.1852,0.4078,2.3925,3.0986,59.5729,1.924
124,TCD,Chad,2018,2017,fallback_10yr,-0.8346,0.0228,0.02,0.7169,0.1388,0.375,2.3017,2.8794,64.6449,1.6313
125,LSO,Lesotho,2017,2017,fallback_10yr,-0.8483,0.0235,0.0253,0.606,0.2669,0.4488,2.3406,3.2376,54.65,2.4391
126,BWA,Botswana,2015,2017,fallback_10yr,-0.8549,0.0446,0.0489,0.4214,0.4807,0.5333,3.4878,4.843,38.0042,3.7885
127,BFA,Burkina Faso,2018,2017,fallback_10yr,-0.9458,0.0235,0.0218,0.6634,0.3049,0.4735,2.3396,2.997,59.8201,2.6788
128,AGO,Angola,2018,2017,fallback_10yr,-0.9895,0.0251,0.028,0.5867,0.4296,0.5127,2.4231,3.4206,52.9023,3.4657
129,TZA,Tanzania,2018,2017,fallback_10yr,-0.9945,0.0148,0.012,0.8244,0.1832,0.4049,1.8663,2.3308,74.338,1.9111
130,UGA,Uganda,2019,2017,fallback_10yr,-1.0022,0.016,0.014,0.7976,0.2194,0.4271,1.931,2.4676,71.9259,2.1397
131,NER,Niger,2018,2017,fallback_10yr,-1.0291,0.0126,0.009,0.8994,0.1401,0.3728,1.7433,2.1295,81.1011,1.6392
132,NAM,Namibia,2015,2017,fallback_10yr,-1.0649,0.0526,0.0613,0.3688,0.7539,0.5907,3.9206,5.6842,33.2525,5.5124
133,RWA,Rwanda,2016,2017,fallback_10yr,-1.0931,0.0109,0.0082,0.8654,0.237,0.4371,1.6511,2.0738,78.0406,2.2506
134,BDI,Burundi,2013,2017,fallback_10yr,-1.1127,0.0057,0.0027,0.9611,0.1555,0.3862,1.3709,1.7008,86.6651,1.7364
135,MWI,Malawi,2019,2017,fallback_10yr,-1.1408,0.0031,0.0002,0.9876,0.1546,0.3854,1.2303,1.5339,89.06,1.7304
136,SWZ,Eswatini,2016,2017,fallback_10yr,-1.1499,0.0201,0.0211,0.6437,0.5269,0.5458,2.1556,2.9537,58.0489,4.0799
137,ZAF,South Africa,2014,2017,fallback_10yr,-1.3981,0.0412,0.0476,0.4431,1.0,0.6303,3.3006,4.7552,39.9565,7.0651
138,MOZ,Mozambique,2014,2017,fallback_10yr,-1.4078,0.0029,0.0013,0.9218,0.4879,0.54,1.2192,1.6048,83.1275,3.8337
139,ZMB,Zambia,2015,2017,fallback_10yr,-1.5316,0.0,0.0008,0.86,0.6721,0.5714,1.0598,1.571,77.548,4.9958
140,SOM,Somalia,2017,2017,fallback_10yr,,,0.0,1.0,,0.3682,,1.5173,90.176,
141,SSD,South Sudan,2016,2017,fallback_10yr,,,0.0001,0.9587,,0.4414,,1.5208,86.4544,
142,ZWE,Zimbabwe,2019,2017,fallback_10yr,,,0.0167,0.7154,,0.5026,,2.6548,64.5099,
